Time,DG1,DG2,DG3
22/11/2022 0:00:00,0,0.184622448,0.139668759
22/11/2022 0:01:00,0,0.18465754,0.138265053
22/11/2022 0:02:00,0,0.184833004,0.140019686
22/11/2022 0:03:00,0,0.184727726,0.136826254
22/11/2022 0:04:00,0,0.184166243,0.136685884
22/11/2022 0:05:00,0,0.185008467,0.143142932
22/11/2022 0:06:00,0,0.184376799,0.137142088
22/11/2022 0:07:00,0,0.184692633,0.136931532
22/11/2022 0:08:00,0,0.18451717,0.139528389
22/11/2022 0:09:00,0,0.183955687,0.140089871
22/11/2022 0:10:00,0,0.184341707,0.13822996
22/11/2022 0:11:00,0,0.184201336,0.135948938
22/11/2022 0:12:00,0,0.184411892,0.131632542
22/11/2022 0:13:00,0,0.184096058,0.133176618
22/11/2022 0:14:00,0,0.183674946,0.131913283
22/11/2022 0:15:00,0,0.184306614,0.137457922
22/11/2022 0:16:00,0,0.184201336,0.129772631
22/11/2022 0:17:00,0,0.184166243,0.130369206
22/11/2022 0:18:00,0,0.183604761,0.126965219
22/11/2022 0:19:00,0,0.184201336,0.128719851
22/11/2022 0:20:00,0,0.183850409,0.127456516
22/11/2022 0:21:00,0,0.183710039,0.127035404
22/11/2022 0:22:00,0,0.183499483,0.127667072
22/11/2022 0:23:00,0,0.184271521,0.12485966
22/11/2022 0:24:00,0,0.183885502,0.12791272
22/11/2022 0:25:00,0,0.18346439,0.12829874
22/11/2022 0:26:00,0,0.184236429,0.129000593
22/11/2022 0:27:00,0,0.183604761,0.129035685
22/11/2022 0:28:00,0,0.184271521,0.129316427
22/11/2022 0:29:00,0,0.184727726,0.130193743
22/11/2022 0:30:00,0,0.184482077,0.143879878
22/11/2022 0:31:00,0,0.185850691,0.141283021
22/11/2022 0:32:00,0,0.185605042,0.158022217
22/11/2022 0:33:00,0,0.185113745,0.169076402
22/11/2022 0:34:00,0,0.185113745,0.170866128
22/11/2022 0:35:00,0,0.185534857,0.169357144
22/11/2022 0:36:00,0,0.185078652,0.168479827
22/11/2022 0:37:00,0,0.185148838,0.169848441
