Time,RPM,Speed
3:44:00,419.6587838,0.461339093
3:45:00,419.8433333,0.596436285
3:46:00,421.3232831,0.527429806
3:47:00,420.3883333,0.638552916
3:48:00,417.0701169,0.621382289
3:49:00,424.0893761,0.289956803
3:50:00,418.4237856,0.344060475
3:51:00,421.9816667,0.542008639
3:52:00,419.9866667,0.510907127
3:53:00,419.3651591,0.168142549
3:54:00,413.9373942,0.91425486
3:55:00,508.0183333,2.74762419
3:56:00,599.9463987,4.763714903
3:57:00,599.6633333,6.10950324
3:58:00,603.7813022,7.015658747
3:59:00,727.6205734,8.289200864
4:00:00,771.2399329,8.546112311
4:01:00,774.2,8.185853132
4:02:00,774.7796327,9.029481641
4:03:00,774.7470289,9.305183585
4:04:00,774.9883333,9.600647948
4:05:00,775.2383333,9.475917927
4:06:00,774.7822446,9.263066955
4:07:00,774.765,9.258531317
4:08:00,773.6891892,9.329805616
4:09:00,771.0784641,9.334989201
4:10:00,774.5644891,9.237796976
4:11:00,774.7366667,9.387473002
4:12:00,774.5692821,9.239416847
4:13:00,774.4634975,9.267926566
4:14:00,774.5642738,9.346976242
4:15:00,774.445,9.262742981
4:16:00,774.4,9.085205184
4:17:00,774.6046901,9.318466523
4:18:00,773.777027,9.231641469
4:19:00,774.3633333,9.32462203
4:20:00,774.278057,9.361231102
4:21:00,774.2083333,9.515766739
4:22:00,774.2036728,9.322030238
4:23:00,774.1358234,9.463282937
4:24:00,774.18,9.374514039
4:25:00,774.2854758,9.455183585
4:26:00,774.2516667,9.489524838
4:27:00,774.3969849,9.429589633
4:28:00,774.1264755,9.519978402
4:29:00,774.4958264,9.627213823
4:30:00,774.7906198,9.48174946
4:31:00,774.4833333,9.729265659
4:32:00,774.4916667,9.666738661
4:33:00,774.7572156,9.619114471
4:34:00,772.5795645,9.526133909
4:35:00,775.6083333,9.731857451
4:36:00,775.9048414,9.700107991
4:37:00,776.2,9.866306695
4:38:00,775.5433333,9.809935205
4:39:00,776.9427609,9.643412527
4:40:00,776.8729097,9.81187905
4:41:00,776.8280467,9.811231102
4:42:00,776.8866328,9.784341253
4:43:00,772.8691275,9.533585313
4:44:00,641.8183333,8.640064795
4:45:00,599.9316667,7.880021598
4:46:00,599.8881469,7.460799136
4:47:00,664.0423729,8.110691145
4:48:00,775.1116667,8.922894168
4:49:00,777.9983333,9.343736501
4:50:00,777.7855946,9.64049676
4:51:00,777.8116667,9.944384449
4:52:00,777.7969543,10.26868251
4:53:00,778.0435511,10.45917927
4:54:00,778.3722871,10.27159827
4:55:00,778.6066667,10.13488121
4:56:00,778.7616667,10.06069114
4:57:00,778.7966102,10.18833693
4:58:00,777.285,10.28909287
4:59:00,779.4023372,10.01727862
5:00:00,778.6471572,9.885097192
5:01:00,778.8764608,9.971598272
5:02:00,779.0321489,9.972894168
5:03:00,779.2073579,10.15885529
5:04:00,779.2671119,9.941468683
5:05:00,779.3983333,9.923650108
5:06:00,779.5583333,9.761015119
5:07:00,779.6186441,9.800215983
5:08:00,776.9498328,9.664470842
5:09:00,779.8333333,9.624946004
5:10:00,779.8123953,9.81187905
5:11:00,779.6379019,9.712095032
5:12:00,779.7866667,9.557883369
5:13:00,779.6917923,9.44838013
5:14:00,779.9133333,9.724730022
5:15:00,779.7583333,9.531965443
5:16:00,779.6638514,9.584773218
5:17:00,778.364094,9.482073434
5:18:00,778.53,9.411771058
5:19:00,579.345,8.507235421
5:20:00,599.6767169,7.881317495
5:21:00,454.6091371,6.920086393
5:22:00,422.6020408,6.285421166
5:23:00,418.4958124,5.435637149
5:24:00,413.6233333,4.755291577
5:25:00,429.6944908,3.553023758
5:26:00,536.8752108,2.378617711
5:27:00,449.3517588,1.523974082
5:28:00,417.3783333,1.050647948
5:29:00,419.5058431,0.791792657
5:30:00,415.222408,0.542332613
5:31:00,419.4940778,0.441576674
5:32:00,417.3823038,0.405939525
5:33:00,417.3662207,0.49049676
5:34:00,417.4607679,0.485961123
5:35:00,417.4583333,0.41112311
5:36:00,417.6148649,0.287688985
5:37:00,417.4941374,0.371922246
5:38:00,417.1866667,0.324946004
5:39:00,417.8998331,0.425701944
5:40:00,417.5220339,0.370950324
5:41:00,416.9518072,0.549784017
5:42:00,419.1218698,0.44838013
5:43:00,416.6983333,0.256911447
5:44:00,419.7504188,0.910691145
5:45:00,417.8057432,1.055183585
5:46:00,417.7762938,1.178617711
5:47:00,414.921273,1.537580994
5:48:00,417.5283333,2.512742981
5:49:00,440.75,3.594168467
5:50:00,418.4081633,3.993304536
5:51:00,581.0816667,5.681209503
5:52:00,763.7729549,7.400215983
5:53:00,576.7016667,7.546328294
5:54:00,609.1105528,7.796436285
5:55:00,748.8564189,8.628401728
5:56:00,779.8883333,9.437688985
5:57:00,780.0335008,9.796328294
5:58:00,684.6911519,9.209935205
5:59:00,596.815,8.653671706
6:00:00,599.9489796,8.119114471
6:01:00,585.7066667,7.728077754
6:02:00,414.0951586,6.966090713
6:03:00,418.4283333,6.111447084
6:04:00,417.3015075,5.109395248
6:05:00,417.222973,4.299460043
6:06:00,414.87,3.856587473
6:07:00,419.2818792,3.573434125
6:08:00,416.7913189,3.134773218
6:09:00,417.24,2.400647948
6:10:00,417.25,1.83887689
6:11:00,417.1566667,1.327969762
6:12:00,414.0317195,0.8912527
6:13:00,420.2533333,0.86663067
6:14:00,413.983165,0.975809935
6:15:00,465.4352941,0.954103672
6:16:00,416.9566667,0.498920086
6:17:00,413.5661642,0.502807775
6:18:00,416.7140468,0.459719222
6:19:00,416.7241963,0.518358531
6:20:00,419.9447236,0.473326134
6:21:00,414.6166667,0.710151188
6:22:00,420.3405676,1.049028078
6:23:00,415.0266667,1.286177106
6:24:00,416.9135593,1.179589633
6:25:00,417.3923205,1.081425486
6:26:00,419.4266667,0.967062635
6:27:00,414.1222781,0.705939525
6:28:00,419.9449082,0.723758099
6:29:00,417.2944162,0.689416847
6:30:00,413.8944724,0.47300216
6:31:00,417.5284281,0.541684665
6:32:00,420.1624791,0.373218143
6:33:00,417.6325503,0.310043197
6:34:00,416.0780985,0.702051836
6:35:00,413.8643216,0.389416847
6:36:00,416.9916107,0.319762419
6:37:00,417.3724832,0.444492441
6:38:00,420.4190801,0.320734341
6:39:00,417.5950266,0.257883369
6:40:00,418.8146853,0.231317495
6:41:00,415.4839798,0.321382289
6:42:00,355.0552764,0.130885529
6:43:00,420.1423786,0.336285097
6:44:00,418.3333333,0.233909287
6:45:00,417.6499162,0.378725702
6:46:00,417.6030151,0.369006479
6:47:00,417.5579832,0.412419006
6:48:00,417.6103679,0.453563715
6:49:00,417.7572156,0.485313175
6:50:00,418.3020134,0.287688985
6:51:00,419.7281879,0.429265659
6:52:00,417.8358459,0.519330454
6:53:00,419.7554439,0.459071274
6:54:00,416.2129472,0.387149028
6:55:00,419.3350084,0.425701944
6:56:00,417.7671692,0.297408207
6:57:00,417.6739496,0.519978402
6:58:00,417.8305085,0.438012959
6:59:00,353.3232831,0.494384449
7:00:00,417.8506711,0.381641469
7:01:00,417.8020134,0.430885529
7:02:00,327.919598,0.21187905
7:03:00,1.540816327,0.438336933
7:04:00,0,0.565658747
7:05:00,0,0.392008639
7:06:00,0,0.447408207
7:07:00,0,0.362526998
7:08:00,0,0.302915767
7:09:00,0,0.411447084
7:10:00,0,0.364794816
7:11:00,0,0.296760259
7:12:00,0,0.449676026
7:13:00,0,0.478509719
7:14:00,0,0.784017279
7:15:00,0,0.548488121
7:16:00,0,0.408855292
7:17:00,0,0.493736501
7:18:00,0,0.30712743
7:19:00,0,0.550107991
7:20:00,0,0.588660907
7:21:00,0,0.311339093
7:22:00,0,0.672570194
7:23:00,0,0.473650108
7:24:00,0,0.706587473
7:25:00,0,0.362203024
7:26:00,0,0.635637149
7:27:00,0,0.530345572
7:28:00,0,0.298704104
7:29:00,0,0.486933045
7:30:00,0,0.526457883
7:31:00,0,0.933045356
7:32:00,0,0.690064795
7:33:00,0,0.510907127
